Continental region,Plans measured,Average price of 1GB (local currency),Currency,Conversion rate (USD) (Frozen 07/09/2023),Average price of 1GB (USD),Cheapest 1GB (Local currency),Cheapest 1GB for 30 days (USD),Most expensive 1GB (Local currency),Most expensive 1GB (USD),DATE
NEAR EAST,24,0.08,ILS,0.25988,$0.02 ,0.004,$0.00 ,0.83,$0.22 ,24-07-2023
WESTERN EUROPE,33,0.08,EUR,1.07157,$0.09 ,0.03,$0.03 ,2,$2.14 ,25-07-2023
OCEANIA,17,0.2,FJD,0.44,$0.09 ,0.1,$0.04 ,1,$0.44 ,19-07-2023
WESTERN EUROPE,12,0.09,EUR,1.07157,$0.10 ,0.04,$0.04 ,2,$2.14 ,6/9/2023
ASIA (EX. NEAR EAST),16,0.12,USD,1,$0.12 ,0.1,$0.10 ,0.2,$0.20 ,1/9/2023
ASIA (EX. NEAR EAST),56,38.13,PKR,0.00325,$0.12 ,1.5,$0.01 ,2340,$7.59 ,6/8/2023
ASIA (EX. NEAR EAST),35,13.32,INR,0.01202,$0.16 ,3.78,$0.05 ,645,$7.75 ,24-07-2023
CIS,10,15.4,KGS,0.01133,$0.17 ,9.5,$0.11 ,33.33,$0.38 ,25-07-2023
WESTERN EUROPE,49,0.18,EUR,1.07157,$0.20 ,0.09,$0.09 ,59.9,$64.19 ,19-07-2023
SOUTH AMERICA,49,812.5,COP,0.00024,$0.20 ,251.6,$0.06 ,16666.67,$4.06 ,14-07-2023
CARIBBEAN,31,30,HTG,0.00732,$0.22 ,12.5,$0.09 ,142.86,$1.05 ,23-07-2023
ASIA (EX. NEAR EAST),60,25.39,BDT,0.0091,$0.23 ,5,$0.05 ,632.81,$5.76 ,30-08-2023
ASIA (EX. NEAR EAST),46,80.58,LKR,0.00309,$0.25 ,29.9,$0.09 ,382.57,$1.18 ,5/9/2023
ASIA (EX. NEAR EAST),51,5000,LAK,0.00005,$0.25 ,1133.33,$0.06 ,40000,$2.02 ,26-07-2023
CIS,19,25,RUB,0.01016,$0.25 ,13.33,$0.14 ,150,$1.52 ,31-08-2023
CIS,11,10,UAH,0.02702,$0.27 ,4.8,$0.13 ,1000,$27.02 ,10/8/2023
ASIA (EX. NEAR EAST),52,4226.19,IDR,0.00007,$0.28 ,244.44,$0.02 ,44000,$2.87 ,23-07-2023
SOUTH AMERICA,20,10.5,UYU,0.0264,$0.28 ,7.3,$0.19 ,441.67,$11.66 ,10/8/2023
EASTERN EUROPE,21,5,MDL,0.05579,$0.28 ,0.5,$0.03 ,50,$2.79 ,27-07-2023
ASIA (EX. NEAR EAST),45,1.33,MYR,0.21374,$0.28 ,0.09,$0.02 ,6,$1.28 ,2/8/2023
ASIA (EX. NEAR EAST),39,7000,VND,0.00004,$0.29 ,2083.33,$0.09 ,60000,$2.49 ,10/8/2023
CIS,48,3660.71,UZS,0.00008,$0.30 ,750,$0.06 ,30000,$2.47 ,10/8/2023
CARIBBEAN,13,2.17,TTD,0.14749,$0.32 ,1,$0.15 ,175,$25.81 ,9/8/2023
EASTERN EUROPE,15,0.3,EUR,1.07157,$0.32 ,0.05,$0.05 ,5.96,$6.39 ,27-07-2023
CARIBBEAN,17,0.31,EUR,1.07157,$0.33 ,0.19,$0.21 ,9,$9.64 ,1/8/2023
OCEANIA,39,1,WST,0.36245,$0.36 ,0.67,$0.24 ,3,$1.09 ,10/8/2023
EASTERN EUROPE,30,1.58,PLN,0.23349,$0.37 ,0.14,$0.03 ,40,$9.34 ,6/8/2023
ASIA (EX. NEAR EAST),6,2.75,CNY,0.13647,$0.38 ,2,$0.27 ,3,$0.41 ,14-07-2023
SUB-SAHARAN AFRICA,41,400,MWK,0.00095,$0.38 ,319.99,$0.30 ,16666.67,$15.87 ,2/8/2023
ASIA (EX. NEAR EAST),29,1333.33,MNT,0.00029,$0.38 ,500,$0.14 ,3428.57,$0.99 ,1/8/2023
SUB-SAHARAN AFRICA,55,300,NGN,0.00131,$0.39 ,100,$0.13 ,1250,$1.64 ,3/8/2023
SOUTH AMERICA,44,2,BRL,0.20082,$0.40 ,0.75,$0.15 ,7.4,$1.49 ,13-07-2023
SUB-SAHARAN AFRICA,20,4.6,GHS,0.08759,$0.40 ,0.86,$0.08 ,8.33,$0.73 ,20-07-2023
ASIA (EX. NEAR EAST),26,14.47,THB,0.02807,$0.41 ,11.24,$0.32 ,48,$1.35 ,6/9/2023
CIS,10,190.56,KZT,0.00215,$0.41 ,142.86,$0.31 ,415,$0.89 ,25-07-2023
WESTERN EUROPE,4,0.39,EUR,1.07157,$0.42 ,0.3,$0.32 ,2.7,$2.89 ,27-07-2023
ASIA (EX. NEAR EAST),51,57.38,NPR,0.00751,$0.43 ,4.96,$0.04 ,1326.67,$9.96 ,4/8/2023
NEAR EAST,30,11.71,TRY,0.03726,$0.44 ,1.93,$0.07 ,194.67,$7.25 ,9/8/2023
OCEANIA,59,0.69,AUD,0.6389,$0.44 ,0.14,$0.09 ,9.9,$6.33 ,6/7/2023
SOUTH AMERICA,59,1.65,PEN,0.27009,$0.45 ,0.5,$0.13 ,60,$16.21 ,4/9/2023
SUB-SAHARAN AFRICA,10,0.45,EUR,1.07157,$0.48 ,0.27,$0.29 ,3,$3.21 ,7/8/2023
WESTERN EUROPE,58,0.45,EUR,1.07157,$0.48 ,0.1,$0.11 ,49,$52.51 ,18-07-2023
SOUTH AMERICA,17,0.46,EUR,1.07157,$0.49 ,0.2,$0.21 ,9.98,$10.69 ,20-07-2023
CARIBBEAN,17,0.46,EUR,1.07157,$0.49 ,0.2,$0.22 ,9,$9.64 ,21-07-2023
